keibajo_code,kyori,wakuban,sample_count,tansho_hit_count,fukusho_hit_count,tansho_hit_rate,fukusho_hit_rate,keibajo_name
46,1500,5,669,64,219,9.57,32.74,金沢
46,1500,6,805,70,225,8.7,27.95,金沢
46,1500,7,884,100,277,11.31,31.33,金沢
46,1500,8,1035,116,352,11.21,34.01,金沢
46,1700,1,82,11,26,13.41,31.71,金沢
46,1700,2,58,7,25,12.07,43.1,金沢
46,1700,3,61,8,21,13.11,34.43,金沢
46,1700,4,75,8,27,10.67,36.0,金沢
46,1700,5,87,10,26,11.49,29.89,金沢
46,1700,6,98,12,31,12.24,31.63,金沢
46,1700,7,98,13,30,13.27,30.61,金沢
46,1700,8,108,14,34,12.96,31.48,金沢
46,1900,1,15,2,7,13.33,46.67,金沢
46,1900,2,11,1,4,9.09,36.36,金沢
46,1900,3,17,2,6,11.76,35.29,金沢
46,1900,4,24,1,6,4.17,25.0,金沢
46,1900,5,11,2,7,18.18,63.64,金沢
46,1900,6,20,0,6,0.0,30.0,金沢
46,1900,7,20,1,4,5.0,20.0,金沢
46,1900,8,14,2,3,14.29,21.43,金沢
